0	0   55999   60000   63999   72000   79999   108000   111999   136000   139999   160000   163999   184000   187999   204000   207999   244000   247999   272000   275999   300000   303999   320000   323999   344000   347999   360000   363999   400000   403999   436000   439999   448000   451999   480000   483999   508000   511999   544000   547999   572000   575999   636000   639999   664000   667999   684000   687999   704000   707999   732000   735999   772000   775999   820000   823999   856000   859999   876000   879999   932000   935999   988000   991999   1020000   1023999   1048000   1051999   1068000   1071999   1088000   1091999   1112000   1115999   1132000   1135999   1144000   1147999   1164000   1167999   1188000   1191999   1200000   1203999   1232000   1235999   1260000   1263999   1296000   1299999   1352000   1355999   1384000   1387999   1404000   1407999   1420000   1423999   1436000   1439999   1468000   1471999   1504000   1507999   1536000   1539999   1588000   1591999   1656000   1659999   1684000   1687999   1700000   1703999   1724000   1727999   1740000   1743999   1764000   1767999   1792000   1795999   1840000   1843999   1880000   1883019   
1	1883020   1883999   1932000   1935999   1996000   1999999   2048000   2051999   2088000   2091999   2132000   2135999   2168000   2171999   2184000   2187999   2208000   2211999   2228000   2231999   2236000   2239999   2256000   2259999   2272000   2275999   2296000   2299999   2324000   2327999   2380000   2383999   2400000   2403999   2420000   2423999   2448000   2451999   2472000   2475999   2492000   2495999   2532000   2535999   2564000   2567999   2624000   2627999   2640000   2643999   2664000   2667999   2704000   2707999   2764000   2767999   2792000   2795999   2816000   2819999   2832000   2835999   2848000   2851999   2864000   2867999   2904000   2907999   2936000   2939999   2996000   2999999   3044000   3047999   3080000   3083999   3108000   3111999   3124000   3127999   3144000   3147999   3172000   3175999   3200000   3203999   3236000   3239999   3340000   3343999   3376000   3379999   3428000   3431999   3464000   3467999   3496000   3499999   3504000   3507999   3532000   3535999   3552000   3555999   3584000   3587999   3624000   3627999   3648000   3651999   3712000   3715999   3752000   3755999   3768000   3771999   3784000   3787999   3812000   3815999   3832000   3835999   3848000   3851999   3864000   3867999   3884000   3887999   3904000   3907999   3948000   3951999   3996000   3999999   4020000   4023999   4036000   4039999   4060000   4063999   4088000   4091999   4104000   4107999   4148000   4151999   4172000   4175999   4180000   4183999   4212000   4215999   4240000   4243999   4268000   4271999   4284000   4287999   4300000   4303999   4344000   4347999   4356000   4359999   4384000   4387999   4412000   4415999   4480000   4480102   
2	4480103   4483999   4532000   4535999   4552000   4555999   4600000   4603999   4636000   4639999   4664000   4667999   4680000   4683999   4704000   4707999   4760000   4763999   4772000   4775999   4812000   4815999   4824000   4827999   4848000   4851999   4880000   4883999   4952000   4955999   5008000   5011999   5028000   5031999   5056000   5059999   5112000   5115999   5124000   5127999   5164000   5167999   5212000   5215999   5272000   5275999   5320000   5323999   5372000   5375999   5408000   5411999   5428000   5431999   5440000   5443999   5496000   5499999   5516000   5519999   5556000   5559999   5584000   5587999   5624000   5627999   5644000   5647999   5660000   5663999   5676000   5679999   5692000   5695999   5712000   5715999   5732000   5735999   5760000   5763999   5792000   5795999   5832000   5835999   5876000   5879999   5908000   5911999   5928000   5931999   5944000   5947999   5968000   5971999   6012000   6015999   6036000   6039999   6056000   6059999   6108000   6111999   6168000   6171999   6200000   6203999   6284000   6287999   6380000   6383999   6440000   6443999   6476000   6479999   6548000   6551999   6580000   6583999   6648000   6651999   6712000   6715999   6760000   6763999   6792000   6795999   6844000   6847999   6924000   6927999   6984000   6985389   
3	6985390   6987999   7044000   7047999   7116000   7119999   7156000   7159999   7176000   7179999   7216000   7219999   7244000   7247999   7264000   7267999   7292000   7295999   7308000   7311999   7332000   7335999   7360000   7363999   7388000   7391999   7412000   7415999   7428000   7431999   7460000   7463999   7508000   7511999   7552000   7555999   7588000   7591999   7616000   7619999   7656000   7659999   7708000   7711999   7756000   7759999   7796000   7799999   7820000   7823999   7856000   7859999   7920000   7923999   7960000   7963999   7988000   7991999   8016000   8019999   8060000   8063999   8072000   8075999   8100000   8103999   8132000   8135999   8152000   8155999   8172000   8175999   8192000   8195999   8208000   8211999   8228000   8231999   8248000   8251999   8272000   8275999   8312000   8315999   8364000   8367999   8388000   8391999   8448000   8451999   8508000   8511999   8524000   8527999   8560000   8563999   8588000   8591999   8684000   8687999   8736000   8739999   8768000   8771999   8832000   8835999   8872000   8875999   8904000   8907999   8940000   8943999   8968000   8971999   9012000   9015999   9020000   9023999   9064000   9067999   9100000   9103999   9144000   9147999   9180000   9183999   9228000   9231999   9252000   9255999   9320000   9323999   9356000   9359999   9376000   9378582   
4	9378583   9379999   9396000   9399999   9416000   9419999   9440000   9443999   9452000   9455999   9480000   9483999   9544000   9547999   9576000   9579999   9600000   9603999   9640000   9643999   9656000   9659999   9676000   9679999   9696000   9699999   9744000   9747999   9784000   9787999   9812000   9815999   9832000   9835999   9848000   9851999   9868000   9871999   9880000   9883999   9900000   9903999   9928000   9931999   9948000   9951999   9968000   9971999   9996000   9999999   10012000   10015999   10028000   10031999   10052000   10055999   10072000   10075999   10088000   10091999   10124000   10131999   10152000   10155999   10168000   10171999   10196000   10199999   10212000   10215999   10228000   10231999   10244000   10247999   10296000   10299999   10356000   10359999   10404000   10407999   10436000   10439999   10476000   10479999   10500000   10503999   10548000   10551999   10616000   10619999   10632000   10635999   10656000   10659999   10680000   10683999   10688000   10691999   10732000   10735999   10764000   10767999   10816000   10819999   10896000   10899999   10920000   10923999   10980000   10983999   11040000   11043999   11076000   11079999   11092000   11095999   11112000   11115999   11136000   11139999   11148000   11151999   11164000   11167999   11184000   11187999   11200000   11203999   11220000   11223999   11244000   11247999   11276000   11279999   11300000   11303999   11316000   11319999   11336000   11339999   11356000   11359999   11384000   11387999   11404000   11407999   11416000   11419999   11428000   11431999   11460000   11463999   11480000   11483999   11508000   11511999   11540000   11543999   11576000   11579999   11644000   11647999   11652000   11655999   11684000   11687999   11700000   11703999   11712000   11715999   11724000   11727843   
5	11727844   11727999   11800000   11803999   11848000   11851999   11928000   11931999   11980000   11983999   12032000   12035999   12068000   12071999   12088000   12091999   12108000   12111999   12128000   12131999   12160000   12163999   12200000   12203999   12228000   12231999   12252000   12255999   12292000   12295999   12320000   12323999   12360000   12363999   12404000   12407999   12492000   12495999   12516000   12519999   12552000   12555999   12608000   12611999   12692000   12695999   12744000   12747999   12780000   12783999   12800000   12803999   12864000   12867999   12920000   12923999   12976000   12979999   13012000   13015999   13040000   13043999   13080000   13083999   13124000   13127999   13136000   13139999   13156000   13159999   13168000   13171999   13200000   13203999   13224000   13227999   13252000   13255999   13276000   13279999   13308000   13311999   13328000   13331999   13356000   13359999   13396000   13399999   13420000   13423999   13444000   13447999   13460000   13463999   13488000   13491999   13500000   13503999   13532000   13535999   13552000   13555999   13568000   13571999   13592000   13595999   13628000   13631999   13656000   13659999   13684000   13687999   13720000   13723999   13732000   13735999   13756000   13759999   13768000   13771999   13792000   13795999   13820000   13823999   13844000   13847999   13892000   13895999   13908000   13911999   13920000   13923999   13952000   13955999   13972000   13975999   13984000   13987999   14000000   14003999   14028000   14031999   14076000   14079999   14100000   14103999   14184000   14187999   14280000   14283999   14340000   14343999   14384000   14387999   14432000   14435999   14480000   14483999   14512000   14515999   14564000   14566117   
6	14566118   14567999   14612000   14615999   14668000   14671999   14688000   14691999   14736000   14739999   14756000   14759999   14832000   14835999   14852000   14855999   14880000   14883999   14892000   14895999   14916000   14919999   14936000   14939999   14964000   14967999   14976000   14979999   14988000   14991999   15040000   15043999   15068000   15071999   15084000   15087999   15108000   15111999   15136000   15139999   15156000   15159999   15180000   15183999   15196000   15199999   15220000   15223999   15268000   15271999   15348000   15351999   15408000   15411999   15476000   15479999   15540000   15543999   15600000   15603999   15676000   15679999   15724000   15727999   15780000   15783999   15832000   15835999   15872000   15875999   15924000   15927999   15960000   15963999   15980000   15983999   16020000   16023999   16040000   16043999   16056000   16059999   16084000   16087999   16100000   16103999   16120000   16123999   16140000   16143999   16164000   16167999   16184000   16187999   16200000   16203999   16220000   16223999   16244000   16247999   16256000   16259999   16276000   16279999   16304000   16307999   16316000   16319999   16344000   16347999   16364000   16367999   16388000   16391999   16404000   16407999   16424000   16427999   16456000   16459999   16468000   16471999   16496000   16499999   16504000   16507999   16536000   16539999   16576000   16579999   16648000   16651999   16700000   16703999   16716000   16719999   16736000   16739999   16748000   16751999   16772000   16775999   16832000   16835999   16868000   16871999   16900000   16903999   16940000   16941988   
7	16941989   16943999   16972000   16975999   17036000   17039999   17056000   17059999   17104000   17107999   17132000   17135999   17152000   17155999   17176000   17179999   17196000   17199999   17216000   17219999   17232000   17235999   17240000   17243999   17264000   17267999   17280000   17283999   17300000   17303999   17340000   17343999   17388000   17391999   17416000   17419999   17440000   17443999   17484000   17487999   17520000   17523999   17540000   17543999   17564000   17567999   17592000   17595999   17620000   17623999   17636000   17639999   17656000   17659999   17672000   17675999   17688000   17691999   17708000   17711999   17736000   17739999   17748000   17751999   17768000   17771999   17792000   17795999   17816000   17819999   17856000   17859999   17868000   17871999   17896000   17899999   17920000   17923999   17948000   17951999   17956000   17959999   17984000   17987999   18008000   18011999   18028000   18031999   18048000   18051999   18072000   18075999   18096000   18099999   18124000   18127999   18156000   18159999   18180000   18183999   18212000   18215999   18264000   18267999   18292000   18295999   18312000   18315999   18344000   18347999   18360000   18363999   18380000   18383999   18396000   18399999   18424000   18427999   18440000   18443999   18460000   18463999   18492000   18495999   18508000   18511999   18552000   18555999   18580000   18583999   18612000   18615999   18632000   18635999   18648000   18651999   18668000   18671999   18688000   18691999   18720000   18723999   18740000   18743999   18780000   18783999   18792000   18795999   18808000   18811999   18828000   18831999   18852000   18855999   18864000   18867999   18888000   18891999   18908000   18911999   18920000   18923999   18940000   18943999   18956000   18959999   18980000   18983999   18992000   18995999   19012000   19015999   19040000   19043999   19060000   19063999   19084000   19087999   19096000   19099999   19112000   19115999   19168000   19171999   19196000   19199999   19220000   19223999   19252000   19255999   19276000   19279999   19316000   19319999   19328000   19331999   19344000   19347999   19364000   19367611   
8	19367612   19367999   19380000   19383999   19404000   19407999   19428000   19431999   19444000   19447999   19464000   19467999   19536000   19539999   19572000   19575999   19600000   19603999   19656000   19659999   19724000   19727999   19800000   19803999   19816000   19819999   19852000   19855999   19872000   19875999   19932000   19935999   19940000   19943999   19964000   19967999   19980000   19983999   20004000   20007999   20024000   20027999   20040000   20043999   20060000   20063999   20076000   20079999   20088000   20091999   20140000   20143999   20156000   20159999   20188000   20191999   20212000   20215999   20248000   20251999   20268000   20271999   20316000   20319999   20352000   20355999   20368000   20371999   20392000   20395999   20408000   20411999   20424000   20427999   20440000   20443999   20468000   20471999   20492000   20495999   20524000   20527999   20540000   20543999   20556000   20559999   20608000   20611999   20628000   20631999   20652000   20655999   20676000   20679999   20688000   20691999   20704000   20707999   20724000   20727999   20744000   20747999   20756000   20759999   20776000   20779999   20800000   20803999   20820000   20823999   20844000   20847999   20876000   20879999   20896000   20899999   20932000   20935999   20960000   20963999   20984000   20987999   21008000   21011999   21036000   21039999   21060000   21063999   21080000   21083999   21108000   21111999   21136000   21139999   21152000   21155999   21180000   21183999   21228000   21231999   21252000   21255999   21272000   21275999   21284000   21287999   21324000   21327999   21348000   21351999   21404000   21407999   21436000   21439999   21456000   21459999   21500000   21503999   21512000   21515999   21528000   21531999   21552000   21555999   21580000   21583999   21616000   21619999   21644000   21647999   21656000   21659999   21720000   21723999   21740000   21743999   21768000   21771999   21796000   21799999   21828000   21831999   21844000   21847999   21868000   21871999   21888000   21891999   21936000   21939999   21992000   21995999   22048000   22051999   22072000   22075999   22096000   22099999   22124000   22127999   22168000   22171999   22232000   22235999   22280000   22281630   
9	22281631   22283999   22360000   22363999   22396000   22399999   22440000   22443999   22472000   22475999   22504000   22507999   22512000   22515999   22544000   22547999   22600000   22603999   22672000   22675999   22756000   22759999   22804000   22807999   22824000   22827999   22880000   22883999   22912000   22915999   22932000   22935999   22956000   22959999   22976000   22979999   22988000   22991999   23008000   23011999   23044000   23047999   23068000   23071999   23112000   23115999   23136000   23139999   23204000   23207999   23244000   23247999   23272000   23275999   23312000   23315999   23332000   23335999   23352000   23355999   23376000   23379999   23396000   23399999   23420000   23423999   23440000   23443999   23476000   23479999   23500000   23503999   23520000   23523999   23544000   23547999   23604000   23607999   23656000   23659999   23688000   23691999   23712000   23715999   23736000   23739999   23756000   23759999   23768000   23771999   23836000   23839999   23916000   23919999   23952000   23955999   23968000   23971999   23996000   23999999   24020000   24023999   24056000   24059999   24076000   24079999   24124000   24127999   24152000   24155999   24168000   24171999   24196000   24199999   24216000   24219999   24232000   24235999   24252000   24255999   24268000   24271999   24284000   24287999   24300000   24303999   24316000   24319999   24332000   24335999   24352000   24355999   24380000   24383999   24408000   24411999   24420000   24423999   24448000   24451999   24464000   24467999   24488000   24491999   24500000   24503999   24552000   24555999   24588000   24591999   24608000   24611999   24644000   24647999   24680000   24683194   
