0	0   23999   44000   47999   64000   67999   96000   99999   124000   127999   152000   155999   176000   179999   212000   215999   248000   251999   268000   271999   316000   319999   360000   363999   388000   391999   408000   411999   428000   431999   452000   455999   464000   467999   516000   519999   536000   539999   572000   575999   624000   627999   640000   643999   664000   667999   696000   699999   776000   776134   
1	776135   779999   816000   819999   840000   843999   848000   851999   872000   875999   904000   907999   928000   931999   960000   963999   1000000   1003999   1056000   1059999   1068000   1071999   1096000   1099999   1144000   1147999   1168000   1171999   1188000   1191999   1236000   1239999   1300000   1303999   1328000   1331999   1344000   1347999   1368000   1371999   1420000   1423999   1444000   1447999   1456000   1459999   1476000   1479999   1516000   1519999   1540000   1543999   1560000   1563999   1584000   1587999   1612000   1615999   1636000   1639999   1656000   1659999   1704000   1706884   
2	1706885   1707999   1740000   1743999   1776000   1779999   1812000   1815999   1836000   1839999   1852000   1855999   1916000   1919999   1952000   1955999   2004000   2007999   2060000   2063999   2072000   2075999   2104000   2107999   2140000   2143999   2152000   2155999   2168000   2171999   2196000   2199999   2236000   2239999   2256000   2259999   2280000   2283999   2312000   2315999   2384000   2387999   2496000   2499999   2552000   2555999   2596000   2599999   2692000   2693923   
3	2693924   2695999   2732000   2735999   2764000   2767999   2784000   2787999   2808000   2811999   2828000   2831999   2876000   2879999   2912000   2915999   2956000   2959999   2988000   2991999   3040000   3043999   3072000   3075999   3100000   3103999   3112000   3115999   3136000   3139999   3152000   3155999   3192000   3195999   3248000   3251999   3308000   3311999   3360000   3363999   3408000   3411999   3440000   3443999   3456000   3459999   3500000   3503999   3548000   3551999   3576000   3578799   
4	3578800   3579999   3600000   3603999   3636000   3639999   3664000   3667999   3684000   3687999   3720000   3723999   3748000   3751999   3764000   3767999   3776000   3779999   3800000   3803999   3820000   3823999   3844000   3847999   3860000   3863999   3884000   3887999   3896000   3899999   3916000   3919999   3976000   3979999   4012000   4015999   4056000   4059999   4088000   4091999   4124000   4127999   4176000   4179999   4224000   4227999   4240000   4243999   4256000   4259999   4268000   4271999   4296000   4299999   4308000   4311999   4336000   4339999   4352000   4355999   4372000   4375999   4400000   4403999   4444000   4447999   4460000   4463999   4496000   4498270   
5	4498271   4499999   4580000   4583999   4604000   4607999   4636000   4639999   4656000   4659999   4696000   4699999   4732000   4735999   4788000   4791999   4860000   4863999   4904000   4907999   4976000   4979999   5008000   5011999   5016000   5019999   5044000   5047999   5064000   5067999   5092000   5095999   5120000   5123999   5148000   5151999   5164000   5167999   5188000   5191999   5212000   5215999   5240000   5243999   5256000   5259999   5280000   5283999   5308000   5311999   5332000   5335999   5344000   5347999   5384000   5387999   5476000   5479999   5536000   5539999   5592000   5593294   
6	5593295   5595999   5628000   5631999   5668000   5671999   5692000   5695999   5712000   5715999   5732000   5735999   5756000   5759999   5776000   5779999   5796000   5799999   5864000   5867999   5956000   5959999   6032000   6035999   6080000   6083999   6108000   6111999   6128000   6131999   6156000   6163999   6184000   6187999   6200000   6203999   6220000   6223999   6240000   6243999   6260000   6263999   6284000   6287999   6308000   6311999   6360000   6363999   6384000   6387999   6404000   6407999   6448000   6451999   6500000   6501024   
7	6501025   6503999   6536000   6539999   6556000   6559999   6568000   6571999   6584000   6587999   6608000   6611999   6652000   6655999   6680000   6683999   6712000   6715999   6724000   6727999   6744000   6747999   6764000   6767999   6780000   6783999   6808000   6811999   6832000   6835999   6844000   6847999   6872000   6875999   6888000   6891999   6920000   6923999   6948000   6951999   6984000   6987999   7000000   7003999   7020000   7023999   7044000   7047999   7068000   7071999   7100000   7103999   7120000   7123999   7132000   7135999   7164000   7167999   7184000   7187999   7208000   7211999   7220000   7223999   7236000   7239999   7248000   7251999   7268000   7271999   7288000   7291999   7328000   7331999   7344000   7347999   7376000   7379999   7392000   7395999   7408000   7408771   
8	7408772   7411999   7428000   7431999   7480000   7483999   7516000   7519999   7576000   7579999   7612000   7615999   7632000   7635999   7652000   7655999   7660000   7663999   7692000   7695999   7716000   7719999   7748000   7751999   7780000   7783999   7792000   7795999   7812000   7815999   7836000   7839999   7852000   7855999   7884000   7887999   7900000   7903999   7920000   7923999   7944000   7947999   7956000   7959999   7988000   7991999   8008000   8011999   8036000   8039999   8052000   8055999   8076000   8079999   8116000   8119999   8132000   8135999   8156000   8159999   8192000   8195999   8220000   8223999   8244000   8247999   8264000   8267999   8296000   8299999   8328000   8331999   8352000   8355999   8388000   8391999   8432000   8435999   8456000   8459999   8524000   8526836   
9	8526837   8527999   8584000   8587999   8608000   8611999   8696000   8699999   8740000   8743999   8768000   8771999   8788000   8791999   8808000   8811999   8836000   8839999   8892000   8895999   8916000   8919999   8940000   8943999   8964000   8967999   8992000   8995999   9028000   9031999   9072000   9075999   9088000   9091999   9144000   9147999   9172000   9175999   9200000   9203999   9232000   9235999   9252000   9255999   9276000   9279999   9288000   9291999   9300000   9303999   9320000   9323999   9344000   9347999   9360000   9363999   9400000   9403999   9432000   9435999   9468000   9469742   
